Symbol,Exchange,Description,Sector,Industry,Market capitalization,Price,"Revenue growth %, Quarterly YoY","Revenue growth %, Annual YoY","Gross profit growth %, Quarterly YoY","Gross margin %, Trailing 12 months","Gross margin %, Annual","Operating margin %, Trailing 12 months","Net margin %, Trailing 12 months","EBITDA margin %, Trailing 12 months","Free cash flow margin %, Annual","Free cash flow, Trailing 12 months","Free cash flow, Annual",Price to earnings ratio,"Forward non-GAAP price to earnings, Annual","Price to earning to growth, Trailing 12 months",Price to sales ratio,Price to book ratio,"Enterprise value to EBITDA ratio, Trailing 12 months","Enterprise value to revenue ratio, Trailing 12 months","Net debt, Annual","Net debt to EBITDA ratio, Annual","Debt to equity ratio, Quarterly","Return on equity %, Trailing 12 months","Return on invested capital %, Annual","Return on capital employed %, Annual","Earnings per share diluted growth %, TTM YoY","Earnings per share diluted growth %, Quarterly YoY","Earnings per share estimate, Annual","Revenue growth %, 5 year CAGR","Piotroski F-score, Trailing 12 months","Altman Z-score, Trailing 12 months","Shares buyback ratio %, Annual",Buyback yield %,"Performance %, 1 week","Performance %, 1 month","Performance %, 3 months","Performance %, 6 months",Performance % 1 year,"High, 52 weeks","Low, 52 weeks","Simple moving average, 50, 1 day","Simple moving average, 150, 1 day","Simple moving average, 200, 1 day","Exponential moving average, 21, 1 day","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Relative strength index, 14, 1 day","Average true range, 14, 1 day","Volatility, 1 month","Volatility, 1 week",Volume,"Average volume, 30 days","Relative volume, 1 week",Gap,Free float %,Total common shares outstanding,"Number of employees, Annual","Revenue per employee, Annual","Cash and equivalents, Annual","Cash and short-term investments, Annual","Long term debt, Annual",Upcoming earnings date,"Target price, 1 year","Beta, 5 years",Analyst Rating,"Interest coverage, Annual","Research and development ratio, Annual","Sustainable growth rate, Annual","Sloan ratio %, Annual","Capital expenditures per share, Trailing 12 months","Free cash flow per share, Trailing 12 months"
LITE,NASDAQ,"Lumentum Holdings, Inc.",Producer Manufacturing,Electrical Products,79435178016,885.565,109.34054503848554,83.22188449848025,218.87052341597797,39.7412076974121,39.7412076974121,17.8898473788985,-230.096217650962,26.6655607166556,9.956867949568679,300100000,300100000,,41.203425807568586,,23.30205109489048,16.895510416829634,97.5089934254075,26.001319846051757,-1067200000,-1.3180190193898975,0.35986993690648,-240.026996158239,-164.619730345613,12.601555547851012,-34971.96776929601,-2957.508860759494,21.492509,11.57814561822057,5,15.7432502081944,-26.934097421203436,-2.53892551181011,-2.6081075136371545,9.26156693399137,-1.773057512062548,23.46068856870004,637.9708333333333,1085.68,123.7785,812.5051000000001,770.9840999999998,659.0926750000002,845.9319086214452,829.4647556073492,669.6683698122666,53.73745063021316,79.36921057437614,9.782850478146571,7.622069368447863,3240573,4918627.1,0.29688134853435877,3.3643711528964024,97.4845,89700000,13757,219088.464054663,2043500000,2738400000,60800000,46336.0000,1142.304348,1.5056927,StrongBuy,25.009174311926607,11.688785666887856,,-94.43722203215874,5.33451536643026,3.547281323877069
VIAV,NASDAQ,Viavi Solutions Inc,Technology Services,Information Technology Services,9304935945,37.71,52.53012048192771,40.02582311168496,57.03703703703704,56.1746690377396,56.1746690377396,10.9727985246657,-2.00223934663769,18.1057761970625,5.453467694131595,82800000,82800000,,22.94161234941335,,6.3518079430942445,6.422549604019416,34.00158583121135,6.156251034051241,42099999.9999999,0.15314659876318626,0.48243010010355497,-2.72804774083546,-1.95731255834916,9.716551965472997,-204.1015625,255.96590909090904,1.643738,4.837082465827347,5,-29.4324085905157,-10.52867383512545,-5.926961811019753,-12.909930715935328,-8.913043478260864,-29.566679118416133,23.31589274035318,240.95840867992766,60.43,11.09,42.111,39.496099999999984,34.07275000000001,39.855627032564605,41.39970808675197,35.223493727329554,44.63594034629693,3.0719782100160495,7.39368748999557,5.8270929836983605,1922636,5041051.499999992,0.16425062846480304,3.5453315290933562,99.1185,246750000,4100,370317.073170732,654700000,656700000,441700000,46324.0000,61.428571,1.2225832,StrongBuy,3.5147679324894514,17.302245932951326,,10.441306918982852,0.119157088122605,0.3172413793103448
SPY,AMEX,State Street SPDR S&P 500 ETF,Miscellaneous,Investment Trusts/Mutual Funds,,765.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3629504358007125,3.7101731865512964,2.0016513956957134,10.476286637433649,18.922737718154153,779.37,629.28,752.7469999999988,717.5314666666675,708.4272000000002,763.5639536187745,753.8660390997494,711.6746696432886,54.19934097139191,6.489039304114809,0.848302981880796,0.5506289099411434,27422263,45151243.03333333,0.24896580459962833,0.35233866425661003,,,,,,,,,,1.0099103,NoRating,,,,,,
QQQ,NASDAQ,Invesco QQQ Trust Series I,Miscellaneous,Investment Trusts/Mutual Funds,,710.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3176712347787463,2.941730276212694,-3.034271993014627,15.453467405253496,24.600280504908845,748.65,555.6,713.0131999999996,666.2213333333328,653.6524500000002,713.2346285778582,708.7712267223827,660.3331157186484,48.947513047080214,11.028083567767547,1.4570918045748642,1.0013876382409694,23869646,38349855.266666666,0.3155616542130458,0.6937365500056598,,,,,,,,,,1.2311918,NoRating,,,,,,
MITK,NASDAQ,"Mitek Systems, Inc.",Technology Services,Information Technology Services,813105227,18.02,18.17008900260229,4.4211223653701985,20.226859468352238,75.5575992157735,76.1651946953381,18.0599488635789,11.3869490960172,26.8355044415923,30.15454307672616,48613000,54185000,38.64464936736007,15.588235294117649,0.9222820593373493,4.3945952794817655,3.2447830478992636,14.405912988626948,3.8658994199149075,-33525000,-0.9582130505616371,0.20626848632660502,9.23347981520748,2.87747190735561,5.671719097093203,41.5174506828528,236.20352250489236,1.156,12.143679653223604,7,5.752452126287,-1.4169045185709777,2.1934430388306927,-1.5838339705079145,10.960591133004934,7.517899761336503,22.252374491180458,71.45575642245481,21.05,8.53,18.194999999999997,15.3728,13.95565000000001,18.192243920882134,17.767338516697794,14.828850318089117,49.031620246257226,0.9347231750353221,5.190203697185278,4.556107073692143,665691,749247.1333333333,0.31326048613831986,1.0921310557266888,94.925,45122400,595,302001.680672269,154153000,193011000,6080000,46324.0000,23.625,0.97741467,StrongBuy,1.8028428264648737,19.635930569700207,3.86587233743317,-11.408837552738023,0.104231250898191,0.9980291116631422
FSLR,NASDAQ,"First Solar, Inc.",Electronic Technology,Semiconductors,22226902258,206.82,-3.7347904153412874,24.08505454570527,21.03711113334,44.0024499490617,40.6313896527095,34.9840677075479,32.46543230835,45.6557564970786,22.7465888642627,1500119000,1187230000,12.749824306163463,11.869081994053982,0.3316521248688216,4.172807112438644,2.153689184600279,8.427937071734574,3.8478384271981536,-2200028000,-0.9942546371220128,0.018798802907424198,18.5091772344458,16.6058303048262,15.946906069097718,38.72032564821782,23.36142911057994,17.425105,13.995360646283729,8,6.90176419085488,-0.23305842061071483,0,-5.776765375854217,0.43706293706293986,-23.400000000000002,-0.5720878803903647,3.4099999999999966,320.95,182.99,227.5192,224.3229333333332,232.9503499999999,220.91986226847493,226.20427812311627,224.8406250744838,38.824548706780824,11.211516265341519,5.557038408399088,3.645510693538959,1525810,2358515.8,0.29906108252295527,1.5793768902116998,94.47019999999999,107470000,7900,660680.506329114,2803514000,2855363000,421266000,46324.0000,279.604667,1.7511015,Buy,38.14835376492715,4.472201274635128,17.4499488169668,1.7737895146948766,6.08569412987785,13.924544239408903
VPG,NYSE,"Vishay Precision Group, Inc.",Electronic Technology,Electronic Components,858501645.0000001,64.45,11.674937800188928,0.22184378282798625,6.030594234163562,38.6816397334064,38.8767000214842,2.38412611461091,1.20149730667397,7.35049758057153,2.0673693530641075,-7471000,6351000,218.62279511533242,113.44174691489494,,2.6799038315225707,2.5800124096795503,34.029257028112454,2.5013197145378743,-42889000,-1.667924088045423,0.117965085003501,1.1892246845452,1.41177349210562,2.4528306612599025,,-794.6236559139787,0.568133,2.62958092451262,5,10.1131855947973,-0.3317788269949655,0,-11.53054221002058,-41.36644832605531,-49.027206580196136,33.71369294605809,125.58627931396572,151.78,27.54,101.78880000000002,77.20253333333334,67.16859999999998,75.95735031894715,88.56752716131521,73.475411534375,36.89060150593869,7.484106057862882,8.881565619969374,7.414094906495638,410601,649218.3333333334,0.3772022536844044,3.385731559854911,96.2233,12297500,2100,146286.666666667,87366000,87366000,40130000,46336.0000,93.333333,1.4657074,StrongBuy,5.0557563242127,6.778927220525908,1.60798860159979,-2.630026168650702,0.775131480090158,-0.5613072877535688
ZETA,NYSE,Zeta Global Holdings Corp. Class A,Technology Services,Packaged Software,6998258786,27.88,43.5491923927351,29.72038888237084,37.37984843522876,54.1854645526034,55.1130249228156,3.39771987240249,-0.138075737311069,8.69005020762287,14.18652101530811,224405000,185087000,,28.723405351331134,,4.650189718030122,7.533587695500384,50.60841539813933,4.397896707380654,-102022000,-1.0116814089088098,0.23772122305846602,-0.271166861384226,-3.34051427105354,2.830286472547302,92.81997918834547,,0.970637,28.795924082319036,4,5.9556276417856,-3.7561253789307227,1.6280192471293389,-2.38095238095238,41.52284263959391,40.808080808080796,55.40691192865104,43.12114989733059,29.89,14.365,22.963999999999988,19.660733333333337,19.627199999999988,26.673810704791485,24.0727118068092,20.34931377210614,58.833851269431165,1.4163738633118066,5.858687816521723,4.370703478639855,4763023,8388476.733333333,0.181858703813888,-1.65086055497014,98.1927,227375000,3300,395353.939393939,319764000,319764000,208798000,46336.0000,31.357143,1.395684,StrongBuy,77.64150943396227,8.981058782770788,,-6.926825386575663,0.151901036897329,0.8745953094277127
RKLB,NASDAQ,Rocket Lab Corporation,Electronic Technology,Aerospace & Defense,40042945926,66.91,61.98563301914214,37.95957947246077,76.64981713992873,34.1147194420825,31.6557521697444,-29.0574221279185,-21.5120406268771,-21.112246569572,-53.47400045530152,-371139000,-321806000,,,,55.899235657261606,11.461214981286238,,49.242219196355435,-751489000,,0.0382832596395404,-7.91549041079376,-14.0841557599947,-16.144805012242404,38.885245901639344,39.33281613653995,-0.274562,76.47391444309734,4,52.7928851380012,-7.755074530762032,-6.21366121413272,-14.81858688733291,-3.4487734487734496,-55.30991183542613,-4.475694196587915,48.16209034543844,150.9999,37.57,80.41300000000001,84.58586666666667,78.837225,74.9359096459141,80.41349815563277,77.23858123482381,37.02658530573025,5.520250455558001,7.283503645666095,4.949045519371763,15059188,18803767.066666666,0.2730332210261382,2.401874633860575,98.45660000000001,598460000,2600,231461.15384615402,828660000,1016577000,253955000,46342.0000,116,2.607823,Buy,-8.638982219034316,43.58049780740746,,13.538910671557225,0.236116081633059,-0.5894072184264789
MU,NASDAQ,"Micron Technology, Inc.",Electronic Technology,Semiconductors,1053689816077.0001,932.97,345.71551446081065,48.85110111106686,890.2824858757062,72.6000841881383,40.1653378992991,65.7476128231828,55.9064625473558,75.7294459091211,4.4625180587511375,26172000000,1668000000,21.121250744248066,12.739898083000169,0.02955880354320992,11.547536943084388,10.457519416808093,15.125165526841615,11.454204046314555,5041000000,0.2745343644483172,0.0633016957229657,66.6380585190662,13.3850615251979,15.222945434637145,697.287150515315,1372.0935784196706,73.23214,11.76311929184266,8,22.2811140168259,-1.1722272317403066,0.13400528110417037,-2.5211576637759894,-2.7173289678112202,-2.374275369901423,119.60502777516244,692.8025152957172,1255,114.25,961.9094999999999,681.1742333333333,578.0377250000003,926.8932503640506,908.2344197447483,644.6384373008584,50.77965388642211,65.38589209458242,6.951330565350067,4.442392815035871,19161552,39941668.43333333,0.2245613926997838,2.036949573278569,99.63739999999999,1129390000,53000,705245.2830188681,9646000000,10311000000,14718000000,46294.0000,1571.680851,2.189373,StrongBuy,12.543859649122806,10.161057306436941,16.156740422350207,6.1607768303582215,22.061135371179,22.85764192139738
