Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50,Volume 1month average,Volume 1year average,Return over 1week
Menon Pistons,531727,MENNPIS,INE650G01029,Auto Components,Auto Components & Equipments,73.01,372.83,4.94,31.31,14.45,19.34,0.03,1.99,2.13,19.91,8.22,74.37,16.96,21.51,15.44,19.23,4.93,5.02,0.00,0.00,6.55,22.76,0.00,7.34,0.89,50.51,29.75,2.09,53.63,66.60,10.72,-0.04,0.00,76.10,73.22,304.16,4.46,6.80,74.54,80.29,11.35,6.95,7.77,6.63,0.00,11.90,13.19,15.44,17.70,16.90,16.48,34.85,38.37,368.53,60.11,62.01,244058,43238,10.35
Mrugesh Trading,512065,,INE738D01029,Finance,Non Banking Financial Company (NBFC),63.66,4599.11,-61.29,-16.32,,,0.03,234.92,,-44.02,-168.57,0.25,-0.49,-0.49,-11.56,-56.38,2.52,0.00,0.00,0.00,,-4.02,0.00,-20005.74,1.00,-22.27,22.48,63.76,989.98,657.65,,0.00,0.00,3.84,6.51,11.33,-0.50,,0.98,0.00,-24.27,-0.03,-0.05,0.26,-74.12,0.10,0.79,-11.56,2.03,,9.11,1.00,-0.23,4601.32,21.76,43.29,7962,1013,9.66
NACL Industries,524709,NACLIND,INE295D01020,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,225.85,5272.08,98.91,79.19,309.76,-1.59,0.46,-22.79,-7.08,28.35,114.09,53.70,5.42,8.08,6.48,-133.82,311.96,0.20,1.46,0.05,-9.19,0.08,0.00,52.62,0.73,31.77,21.55,7.74,32.86,8.43,1.58,-1.11,0.65,318.21,360.95,1584.46,-0.86,-43.73,456.94,448.36,3.68,2.55,13.04,-10.16,-10.13,723.98,24.72,6.48,-5.04,4.66,2.10,29.16,73.51,5549.43,167.39,183.80,3409875,646307,5.18
Naturite Agro,538926,,INE223R01014,Agricultural Food & other Products,Other Agricultural Products,206.15,109.17,-149.25,65.98,,-45.96,0.90,-7.21,,317.52,70.47,69.05,-40.59,2.08,1.48,5.41,8.89,-1.42,0.00,0.00,66.16,-3.95,0.00,222.45,0.51,9.81,18.78,11.06,13.68,85.02,1.18,0.00,0.00,6.24,8.05,35.74,-1.67,-10.01,12.19,9.26,-10.93,0.70,0.02,0.21,0.00,8.37,315.26,1.48,-37.50,-2.10,5.93,18.64,0.45,117.90,217.85,189.25,36780,6858,4.62
Pansari Develop.,,PANSARI,INE697V01011,Realty,"Residential, Commercial Projects",359.95,627.99,53.06,-27.30,31.57,38.98,0.65,-0.45,0.27,142.13,165.91,73.88,17.12,12.48,15.42,-12.77,100.29,11.40,0.00,0.00,62.22,7.96,0.00,21.98,0.93,220.10,28.69,4.07,178.40,203.22,6.78,0.00,0.00,37.21,13.58,96.10,8.25,117.62,27.57,17.74,-2.43,3.26,4.14,4.24,0.00,81.49,56.71,15.42,31.75,17.11,14.67,88.38,30.56,725.32,280.18,298.39,53390,9280,16.19
Ramco Inds.,532369,RAMCOIND,INE614A01028,Other Construction Materials,Other Construction Materials,369.00,3211.45,128.93,18.74,10.68,29.70,0.04,0.66,0.30,8.05,66.17,54.79,12.91,4.57,12.95,150.96,169.44,35.27,3.35,0.82,7.13,3.78,1.05,13.07,0.93,45.67,16.49,0.71,79.95,75.97,11.94,0.09,-0.15,391.62,501.83,1792.22,81.75,35.13,365.48,526.83,12.92,40.93,65.63,112.07,0.92,307.95,11.23,12.95,10.82,12.03,11.97,520.72,209.89,3229.65,296.12,306.47,1844024,326177,10.02
Ramco Systems,532370,RAMCOSYS,INE246B01019,IT - Software,Software Products,837.35,3152.25,371.75,19.39,52.49,118.66,0.12,3.20,1.65,18.54,276.16,55.68,15.61,19.33,22.61,57.89,42.83,11.17,2.03,10.02,12.51,-10.76,0.00,18.51,0.86,99.89,36.53,8.96,-61.47,-66.58,18.52,2.04,-3.91,178.50,185.36,700.95,25.05,31.82,175.78,161.32,24.33,12.59,1.08,24.76,3.54,106.41,46.38,22.61,13.03,-1.83,25.16,93.42,74.47,3069.51,505.64,599.65,5413728,676810,5.14
Rane (Madras),532661,RML,INE050H01012,Auto Components,Auto Components & Equipments,1277.30,3527.98,522.22,16.26,32.06,44.66,1.00,2.04,0.68,13.42,149.86,70.45,25.40,13.97,8.80,229.37,752.01,38.89,0.97,0.06,17.94,12.45,0.00,11.90,0.96,40.30,29.75,4.70,-17.12,-6.69,3.52,0.06,0.86,1015.15,1047.87,3862.92,36.96,46.93,919.31,880.60,9.12,21.47,18.53,31.14,-2.20,668.06,26.25,8.80,8.33,7.77,8.95,271.58,208.53,4232.75,869.53,1005.00,194660,37407,6.94
S P Apparels,540048,SPAL,INE212I01016,Textiles & Apparels,Garments & Apparels,1178.60,2953.96,-39.23,-8.59,29.29,39.05,0.44,2.07,4.20,13.15,6.53,61.81,15.07,14.04,13.40,102.52,419.04,40.11,16.57,1.48,13.46,13.92,0.00,14.44,0.96,54.68,24.14,3.13,27.41,43.30,4.46,0.41,-1.03,382.95,364.91,1578.64,18.48,6.97,427.34,403.44,11.94,34.70,21.36,26.96,-0.12,244.68,17.51,13.40,13.48,14.26,14.00,376.36,181.72,3314.10,803.19,925.90,755341,117344,6.67
Share India Sec.,540725,SHAREINDIA,INE932X01026,Capital Markets,Stockbroking & Allied,179.03,3911.47,208.26,73.70,12.09,2.78,0.26,-0.56,-28.12,1.48,-0.41,48.61,15.97,18.41,38.79,-186.04,694.88,14.78,0.47,1.54,10.54,25.75,42.87,2.51,0.85,79.60,21.12,1.49,-138.54,-126.63,4.36,0.61,0.42,371.97,415.91,1470.26,57.83,-0.43,340.96,341.41,28.10,93.22,84.37,88.55,-4.40,201.79,12.91,38.79,35.70,40.01,41.96,120.41,571.72,1476.55,152.04,142.23,7768771,1505467,28.80
Signpost India,544117,SIGNPOST,INE0KGZ01021,Media,Advertising & Media Agencies,320.10,1720.92,2183.70,46.08,24.58,39.39,0.71,0.31,0.94,27.08,105.70,60.38,28.47,25.13,25.46,-34.13,202.53,13.10,0.02,0.09,20.10,21.89,0.00,12.56,0.90,100.00,18.14,5.96,32.57,-6.60,6.87,,,142.34,161.92,575.93,21.01,26.22,134.02,137.65,26.29,15.62,15.28,18.11,,96.91,29.52,25.46,19.73,,26.61,53.71,110.85,1899.59,253.81,273.28,1672958,238066,7.54
Sumeet Industrie,514211,SUMEETINDS,INE235C01036,Textiles & Apparels,Other Textile Products,31.68,2193.97,100.25,9.34,80.93,51.29,0.76,-1.29,2.31,4.69,573.12,89.83,11.67,13.23,5.46,-77.24,161.26,0.39,0.00,0.01,0.56,-2.47,0.00,38.12,0.91,22.56,23.64,10.39,31.28,-18.97,4.14,0.01,0.00,266.92,265.72,1050.42,8.15,35.03,269.30,248.47,5.05,9.86,7.98,6.74,68.16,489.13,48.75,5.46,1.23,0.49,5.93,3.05,41.65,2316.58,23.69,26.85,6287646,698808,6.20
Tarsons Products,543399,TARSONS,INE144Z01023,Healthcare Equipment & Supplies,Medical Equipment & Supplies,288.70,1534.21,-60.59,7.31,101.87,-24.49,0.62,8.27,,7.67,-49.00,47.30,4.06,4.56,27.91,-7.10,392.96,2.69,0.19,0.87,,5.74,0.00,13.38,0.71,65.94,35.68,2.42,-20.47,5.75,2.02,-7.77,-7.19,107.89,120.93,422.51,4.02,,102.33,91.36,28.34,3.32,1.78,5.94,-0.01,,36.95,27.91,28.26,,29.21,119.29,45.58,1901.91,245.86,239.95,2056574,398011,8.92
TCI Express,540212,TCIEXP,INE586V01016,Transport Services,Logistics Solution Provider,553.55,2129.25,-9.50,6.77,25.62,-26.11,0.08,1.25,-1.62,2.41,5.44,69.46,10.18,13.86,10.12,-22.90,63.35,21.20,9.39,0.81,-0.10,18.25,0.00,15.46,0.71,100.00,23.27,2.60,78.29,53.31,53.88,-1.49,-0.78,314.05,328.08,1237.41,17.52,-15.77,308.53,286.75,9.61,23.91,19.47,22.03,-0.20,7.07,31.55,10.12,10.32,,10.22,213.12,114.77,2172.56,573.34,522.92,426338,59543,8.33
Unichem Labs.,506690,UNICHEMLAB,INE351A01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,650.60,4589.01,-65.85,-2.05,56.04,7.53,0.18,0.01,1.60,4.31,-40.09,70.22,4.34,4.13,8.57,163.24,500.15,35.91,10.63,1.00,17.91,3.38,0.00,19.04,0.95,53.40,34.17,1.69,168.54,166.87,4.01,-0.62,0.98,521.17,575.12,2201.85,18.09,34.98,578.96,526.60,8.29,-11.89,-10.47,17.38,19.29,314.04,51.90,8.57,12.55,6.51,8.59,385.97,126.63,4794.46,428.92,426.52,2423593,239873,39.72
Unifinz Capital,541358,,INE926R01012,Finance,Non Banking Financial Company (NBFC),126.65,560.65,160.43,234.97,6.43,5.89,1.69,-2.19,0.01,319.45,334.61,24.64,55.21,55.21,30.07,-191.62,278.23,19.68,8.70,11.29,282.42,37.45,0.00,5.20,0.98,100.00,22.48,3.42,-19.09,-46.68,4.30,11.29,8.70,147.50,152.01,511.73,19.22,443.38,129.07,82.99,23.46,24.05,16.81,27.06,-47.22,6.26,21.05,30.07,28.57,28.72,33.73,37.08,152.94,799.76,100.53,99.64,110306,20419,24.11
