Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50
Harri. Malayalam,500467,HARRMALAYA,INE544A01019,Industrial Products,Rubber,181.75,335.51,-34.06,7.26,12.38,-11.51,0.62,0.87,3.28,2.78,2.42,54.12,17.93,11.77,4.09,17.20,111.01,14.65,0.08,0.01,3.45,9.37,0.00,9.49,0.76,70.75,19.36,1.88,-82.05,-94.28,3.17,-0.10,0.03,147.13,124.92,547.54,3.93,3.77,141.09,134.40,4.55,7.64,6.42,9.11,0.00,95.49,13.67,4.64,4.59,4.72,5.84,96.55,39.61,442.24,199.85,201.55
Hitachi Energy,543187,POWERINDIA,INE07Y701011,Electrical Equipment,Heavy Electrical Equipment,30140.00,134341.10,123.52,68.62,112.72,55.77,0.02,1.26,0.93,40.17,135.80,71.31,23.28,29.36,15.54,735.31,86.10,258.09,6.32,12.44,22.17,22.22,0.00,75.98,0.78,42.71,34.64,25.96,-45.88,-16.16,132.11,7.92,-1.76,2754.05,2493.69,9162.50,294.15,121.83,2082.21,1832.55,14.58,261.42,264.36,330.46,-3.69,334.31,202.26,15.57,9.48,9.64,15.12,1161.25,1599.90,129737.72,28773.84,32870.93
Honasa Consumer,544014,HONASA,INE0J5401028,Personal Products,Personal Care,463.35,15106.35,118.36,27.00,59.80,57.29,0.10,0.71,0.51,21.08,242.32,35.47,24.35,19.22,11.77,134.33,135.35,7.64,21.58,13.64,17.02,14.54,4.15,39.27,0.91,69.70,35.65,10.64,26.99,-0.07,26.29,,,657.08,755.95,2552.63,90.25,117.54,601.54,538.06,14.58,50.20,39.23,69.19,,1885.13,94.60,9.87,3.32,5.41,11.73,43.39,338.60,15027.98,386.67,461.71
Ideaforge Tech,543932,IDEAFORGE,INE349Y01013,Aerospace & Defense,Aerospace & Defense,708.15,3520.14,89.01,436.70,895.75,41.69,0.14,3.72,,221.12,104.52,25.26,-4.99,-2.81,9.30,-151.75,83.71,0.90,10.98,8.27,6.73,-0.34,2.95,76.61,0.71,49.02,83.76,5.10,308.49,304.97,-0.17,,,141.04,68.59,281.94,-2.59,,31.55,40.76,3.40,-33.85,-19.62,59.99,,100.56,105.31,2.56,-32.15,12.72,43.75,138.43,-0.98,3564.53,689.58,806.95
IFB Agro Inds.,507438,IFBAGRO,INE076C01018,Beverages,Breweries & Distilleries,863.60,809.20,18.47,35.59,12.60,12.61,0.10,1.59,1.92,38.82,85.56,65.00,10.78,13.29,7.53,74.06,71.20,68.60,1.12,0.74,4.06,5.94,0.00,5.31,0.48,30.22,44.43,1.19,46.57,55.62,16.31,0.54,0.00,367.99,396.98,1508.68,21.55,6.57,341.73,401.98,8.18,8.37,23.79,10.55,0.00,15.65,14.44,7.52,3.88,5.13,6.49,726.97,91.80,697.90,959.18,945.83
IFB Industries,505726,IFBIND,INE559A01017,Consumer Durables,Household Appliances,1265.90,5129.42,50.08,17.10,32.85,-16.14,0.15,2.18,0.33,13.18,35.53,74.96,19.54,18.22,5.72,189.14,152.65,36.04,6.15,0.79,9.87,16.38,0.00,14.70,0.63,37.22,36.39,5.15,0.96,-4.55,11.51,-1.05,1.97,1447.19,1523.52,5665.78,38.06,98.11,1375.13,1319.94,5.44,24.51,49.75,34.15,0.00,348.02,68.07,5.60,5.92,4.57,4.94,245.08,231.28,5183.96,1315.97,1324.60
India Nipp.Elec.,532240,INDNIPPON,INE092B01025,Auto Components,Auto Components & Equipments,1285.00,2906.89,4.11,28.11,31.87,46.58,0.00,0.36,1.35,26.47,10.85,70.37,31.71,16.96,11.09,14.30,1.90,49.14,0.22,0.33,17.64,15.06,0.00,19.58,0.82,30.18,29.89,3.53,45.58,37.13,250.62,0.25,0.22,271.76,299.46,1068.48,28.13,23.66,272.56,224.70,12.32,23.20,23.21,24.93,0.00,3.65,21.44,11.09,11.10,9.88,10.80,363.08,130.32,2902.57,950.96,1114.82
Indian Metals,533047,IMFA,INE919H01018,Ferrous Metals,Ferro & Silica Manganese,1231.00,6641.77,108.41,49.71,12.67,19.15,0.35,0.75,0.57,23.64,46.48,58.69,26.26,18.37,23.62,-1016.24,957.54,97.18,0.88,3.59,1.83,21.22,0.00,9.45,0.73,50.15,21.99,2.43,13.66,41.83,17.70,1.92,0.80,763.29,960.45,3145.22,192.34,22.28,702.83,718.65,29.29,131.46,97.56,103.22,0.00,340.53,9.61,20.80,20.69,22.34,20.84,503.67,727.74,7552.19,1312.13,1367.63
Indraprastha Gas,532514,IGL,INE203G01027,Gas,LPG/CNG/PNG/LNG Supplier,150.60,21084.02,-43.97,17.19,15.44,-29.25,0.01,1.25,-6.03,9.94,-18.29,45.00,20.51,17.52,9.66,588.25,97.75,9.72,30.02,10.16,4.59,22.24,0.00,7.95,0.67,16.92,15.63,1.87,-80.27,-77.21,108.44,-11.78,9.85,4162.69,4586.73,16840.32,240.41,-2.56,4067.50,4023.40,6.41,392.01,384.95,340.54,0.00,82.77,17.08,11.61,13.27,15.21,10.12,82.17,1765.42,18255.56,166.77,153.20
Innovision,544732,INNOVISION,INE0ADB01012,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",255.65,608.79,-156.46,18.29,35.33,,0.43,-0.77,0.56,9.81,25.95,74.17,16.64,20.28,2.86,-30.98,125.06,8.59,5.21,0.38,56.56,26.05,0.00,13.77,0.54,100.01,20.37,2.06,17.52,7.10,2.56,,,267.52,263.82,1021.57,-7.04,63.05,233.26,256.97,-3.82,4.37,7.64,11.94,,34.39,19.86,5.64,5.48,5.04,6.43,123.54,35.14,514.68,315.80,275.25
